pack,path,w,h
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/DancerushStardombottom/DancerushStardombottom1.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/DancerushStardombottom/DancerushStardombottom2.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/DancerushStardombottom/DancerushStardombottom3.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/DancerushStardomtop/DancerushStardomtop1.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/DancerushStardomtop/DancerushStardomtop2.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/DancerushStardomtop/DancerushStardomtop3.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/Fandark/Fandark1.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/Fandark/Fandark2.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/Fandark/Fandark3.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/FantrimA/FantrimA1.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/FantrimA/FantrimA2.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/FantrimA/FantrimA3.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/FantrimB/FantrimB1.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/FantrimB/FantrimB2.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/FantrimB/FantrimB3.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/Neonbalconybottom/Neonbalconybottom1.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/Neonbalconybottom/Neonbalconybottom2.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/Neonbalconybottom/Neonbalconybottom3.png,32,32
guttykreum/arcade,packs/guttykreum/arcade/AnimatedTiles/Neonbalconytop/Neonbalconytop1.png,32,32
